price change string,midprice change direction
00000,0.4182459233142353
00001,0.47006610009442873
00010,0.46875586413961345
00011,0.5080831408775982
00100,0.4832730560578662
00101,0.5216856351891725
00110,0.5984126984126984
00111,0.5136505460218409
01000,0.5509878267810816
01001,0.620782272956186
01010,0.759893339797588
01011,0.6081959776198397
01100,0.4948001299967501
01101,0.5579322638146168
01110,0.5066882853668423
01111,0.46902318510072216
10000,0.5398830850462003
10001,0.5018734388009992
10010,0.45566413318856314
10011,0.49818181818181817
10100,0.39824120603015073
10101,0.2460723529765846
10110,0.38299951148021494
10111,0.44041349717183537
11000,0.47322970639032813
11001,0.40375
11010,0.48633796366966875
11011,0.49966938505620456
11100,0.48936170212765956
11101,0.5107939992682035
11110,0.5300367007919644
11111,0.581263940520446
